City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Lakatoro,VU,82.83,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
607,Tessalit,ML,81.3,scattered clouds,20.1986,1.0114,
609,Pasighat,IN,75.83,clear sky,28.0667,95.3333,Siang Guest House
611,Bambanglipuro,ID,84.67,few clouds,-7.95,110.2833,Puri Brata
615,Aneho,TG,79.02,overcast clouds,6.2333,1.6,Hotel La Linette
619,Waddan,LY,78.82,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
621,Minas De Barroteran,MX,77.74,clear sky,27.6333,-101.2833,Motel Venecia
622,Cururupu,BR,75.9,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
627,Japura,ID,81.39,broken clouds,-0.3167,102.35,Rumah mbah Jamah
630,Bac Lieu,VN,83.75,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
633,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
637,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
638,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
650,Biltine,TD,81.66,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
651,Iralaya,HN,80.42,overcast clouds,15.0,-83.2333,Iglesia morava renovada
656,Pampa,US,76.15,broken clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
657,Luganville,VU,83.8,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
658,Phanom Sarakham,TH,84.33,overcast clouds,13.7479,101.3553,SC Resort
660,Phangnga,TH,84.9,broken clouds,8.4509,98.5298,Sunimit Mansion
666,Cockburn Town,TC,83.05,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
667,Manzanillo,CU,76.68,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
668,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
672,Ubud,ID,81.72,broken clouds,-8.5098,115.2654,Maya Ubud Resort & Spa
680,Loa Janan,ID,86.88,overcast clouds,-0.583,117.095,Bangsal Pak Tikno
681,Cabadiangan,PH,84.0,overcast clouds,9.7531,122.4739,Kipot
688,Dhidhdhoo,MV,81.55,light rain,6.8833,73.1,Dhidhoo beach
689,Samarai,PG,81.46,scattered clouds,-10.6167,150.6667,Nuli Sapi
690,Mulege,MX,76.66,clear sky,26.8833,-111.9833,Casa Granada
