City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Berdigestyakh,RU,62.0989,126.6992,34.79,98,100,8.63,light rain
283,Labuhan,ID,-6.8844,112.2051,87.19,61,57,2.89,broken clouds
284,Owando,CG,-0.4819,15.8999,69.42,99,60,2.42,light rain
285,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,20.71,few clouds
286,Saldanha,ZA,-33.0117,17.9442,57.0,72,0,8.7,clear sky
287,Sarangani,PH,5.4033,125.4636,83.66,72,100,7.96,overcast clouds
288,Saint-Pierre,RE,-21.3393,55.4781,73.08,78,90,5.75,overcast clouds
289,Svetlogorsk,BY,52.6333,29.7333,37.36,93,67,10.45,broken clouds
290,Vila,PT,42.0304,-8.1588,46.33,74,0,2.75,clear sky
291,Kotturu,IN,14.8167,76.2167,70.83,92,100,3.06,overcast clouds
292,Santo Tomas,PH,14.1079,121.1414,77.56,83,100,8.21,overcast clouds
293,Pitimbu,BR,-7.4706,-34.8086,79.39,78,76,12.33,broken clouds
294,Key Largo,US,25.0865,-80.4473,79.99,80,64,8.75,broken clouds
295,Takaka,NZ,-40.85,172.8,57.56,97,100,3.29,overcast clouds
296,Guadalupe,MX,25.6833,-100.25,78.85,83,1,5.75,clear sky
297,Hambantota,LK,6.1241,81.1185,81.41,73,26,15.12,scattered clouds
298,Yomou,GN,7.5603,-9.2653,69.51,100,99,0.47,overcast clouds
299,Boa Vista,BR,2.8197,-60.6733,82.38,69,20,3.44,few clouds
300,Gidole,ET,5.65,37.3667,58.32,66,47,2.8,scattered clouds
301,Ode,NG,7.7899,5.7117,68.77,90,99,1.74,overcast clouds
302,Aras,ES,42.5617,-2.356,42.71,93,0,2.3,clear sky
303,Palembang,ID,-2.9167,104.7458,80.69,89,20,0.0,few clouds
304,Grand Gaube,MU,-20.0064,57.6608,74.37,75,85,5.01,overcast clouds
305,San Policarpo,PH,12.1791,125.5072,84.38,74,100,9.37,overcast clouds
306,Tutoia,BR,-2.7619,-42.2744,80.04,86,100,9.89,overcast clouds
307,Petervasara,HU,48.0167,20.1,38.64,77,3,2.68,clear sky
308,Aquiraz,BR,-3.9014,-38.3911,81.18,81,20,10.42,few clouds
309,Tahe,CN,52.3333,124.7333,44.55,56,5,2.26,clear sky
310,Mezen,RU,65.8522,44.24,30.27,91,100,5.5,light snow
311,Semey,KZ,50.4111,80.2275,43.02,61,0,17.9,clear sky
312,Sibu,MY,2.3,111.8167,83.52,75,88,2.17,overcast clouds
313,Tashtagol,RU,52.7657,87.8894,36.95,85,100,4.54,overcast clouds
314,Wagar,SD,16.1525,36.2032,79.43,55,6,7.9,clear sky
315,Katsuura,JP,35.1333,140.3,60.91,52,15,6.15,few clouds
316,Nelson Bay,AU,-32.7167,152.15,73.76,67,100,4.0,overcast clouds
317,Pisco,PE,-13.7,-76.2167,63.01,82,48,13.8,scattered clouds
318,Korla,CN,41.7597,86.1469,50.07,37,68,3.02,broken clouds
319,Salym,RU,60.0625,71.4789,39.87,77,100,13.02,overcast clouds
320,Salinopolis,BR,-0.6136,-47.3561,80.2,83,100,9.6,overcast clouds
321,Sidi Ali,DZ,36.0998,0.4206,60.8,82,0,9.55,clear sky
322,Aklavik,CA,68.2191,-135.0107,22.41,96,75,1.9,broken clouds
323,Nisia Floresta,BR,-6.0911,-35.2086,79.61,81,35,7.87,scattered clouds
324,Kjollefjord,NO,70.9457,27.3465,37.02,63,100,21.12,overcast clouds
325,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,79,75,8.01,broken clouds
326,Pevek,RU,69.7008,170.3133,9.32,92,100,5.97,overcast clouds
327,Newport,GB,51.5877,-2.9984,55.45,74,100,19.39,overcast clouds
328,Fairbanks,US,64.8378,-147.7164,35.6,79,1,0.0,clear sky
329,Rorvik,NO,64.8621,11.2373,42.84,76,100,18.39,light rain
330,Whitianga,NZ,-36.8333,175.7,61.02,93,100,11.27,light rain
331,Bontang,ID,0.1333,117.5,84.16,70,98,4.32,overcast clouds
332,Vostok,RU,46.4856,135.8833,45.95,46,0,7.58,clear sky
333,Roebourne,AU,-20.7833,117.1333,91.31,23,24,17.05,few clouds
334,Huarmey,PE,-10.0681,-78.1522,63.55,85,30,10.92,scattered clouds
335,Moroni,KM,-11.7022,43.2551,77.22,77,85,1.32,overcast clouds
336,Moskovskiy,RU,55.5991,37.355,39.9,87,75,11.18,light rain
337,Mattru,SL,7.6244,-11.8332,73.4,98,97,1.59,light rain
338,Half Moon Bay,US,37.4636,-122.4286,64.87,74,90,3.0,haze
339,Coihaique,CL,-45.5752,-72.0662,42.75,75,40,4.61,light rain
340,Goure,NE,13.9835,10.2704,84.02,18,14,7.11,few clouds
341,Wilmington,US,34.2257,-77.9447,69.85,94,1,0.0,clear sky
342,Kamen-Na-Obi,RU,53.7884,81.3423,45.27,70,99,18.75,overcast clouds
343,Karaj,IR,35.8355,51.0103,50.52,36,7,1.05,clear sky
344,Kerrville,US,30.0474,-99.1403,74.95,76,1,5.75,clear sky
345,Bereda,ES,43.2686,-7.5406,47.41,95,2,2.01,clear sky
346,Irbit,RU,57.6705,63.071,40.21,87,12,10.83,few clouds
347,Bolivar,US,37.6145,-93.4105,64.9,96,79,9.69,broken clouds
348,Pochutla,MX,15.7432,-96.4661,76.82,90,51,3.62,broken clouds
